BER_SPO1/18/11,BER_SPO2/18/11,OSNR_SPO1/18/11,OSNR_SPO2/18/11,Ampli1_InputPower,Ampli1_OutputPower,Ampli2_InputPower,Ampli2_OutputPower,Ampli3_InputPower,Ampli3_OutputPower,Ampli4_InputPower,Ampli4_OutputPower,LT
-10.82756351,-17.51646259,33.3,29.2,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.168540296,-17.54938738,19,28.9,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.156599625,-17.49246144,19,28.8,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.169148526,-17.47289135,19,30.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.175248363,-17.49642184,19,29.9,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16418224,-17.46133052,19,29.3,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.448952954,-17.48067349,19,29,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.170815859,-17.50439001,18.8,29.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16870335,-17.46902287,19.1,30.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.161300715,-17.48458738,19,29.4,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.173538929,-17.50439001,19.1,29.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.172075885,-17.47289135,19.1,30.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.15833728,-17.47289135,19,30.2,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16450409,-17.49246144,19,28.6,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.172626563,-17.48067349,19,29.3,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.166390474,-17.48851666,19,29.8,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.175538059,-17.50039799,19.1,29.6,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
